ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor
AC18816,12,70,-0.50966,-0.43597,-0.4028,-0.3917,-0.35887,0.03488,0.04589,0.05611,0.05871,0.06608,-1.755046,-1004.6021121887,14.342879842857142,-45.98479562857143,12.493912714285717,-1.1639913714285717,5.9605357,3.7725,2
AC18817,11,70,-0.47622,-0.43532,-0.38254,-0.37424,-0.35994,0.01862,0.04452,0.0534,0.06826,0.07342,-1.7696896,-1060.8041250728,15.1455188,-47.97256114285714,12.868758628571427,-1.1929068,5.996845871428572,6.9895,2
AC18818,10,70,-0.49285,-0.45304,-0.43012,-0.38976,-0.36435,0.01522,0.04152,0.04331,0.06978,0.07277,-1.7072324,-1122.1788504708,16.02281297142857,-49.94576611428572,13.175280328571429,-1.2237360428571429,5.940282428571429,7.3587,2
AC18819,13,56,-0.50427,-0.46749,-0.42304,-0.39204,-0.30939,0.03536,0.0469,0.0573,0.06987,0.07527,-1.4484233,-644.5844260009,11.501912625,-37.68227201785714,10.491226375,-1.0347696964285713,5.213466553571429,2.1687,2
AC18820,16,64,-0.49379,-0.43581,-0.40282,-0.33633,-0.32811,0.03617,0.04582,0.05075,0.06188,0.07529,-1.6544847,-683.6269141055,10.673110921875,-36.935031125,10.74630446875,-0.9978050625,5.831750265625,3.1777,2
AC18821,16,64,-0.52594,-0.4267,-0.41078,-0.35214,-0.27557,0.03285,0.04258,0.05123,0.06127,0.07133,-1.6626285,-683.5185731066,10.670327640625,-36.919571078125,10.73021078125,-0.9971150625,5.836170015625,4.4764,2
AC18822,14,62,-0.47022,-0.41726,-0.40655,-0.36625,-0.34499,0.031,0.04403,0.05758,0.06237,0.06464,-1.6140589,-682.3630809842,10.997497403225806,-37.410870225806455,10.733736177419354,-1.0173561451612902,5.691136645161291,4.0719,2
AC18823,14,64,-0.52716,-0.43698,-0.41088,-0.3734,-0.32409,0.03506,0.043,0.05616,0.06081,0.07807,-1.7077087,-719.4459767969,11.231252375,-38.368253078125,11.05936928125,-1.03413234375,5.870420390625,3.4597,2
AC18824,14,64,-0.52403,-0.43059,-0.39782,-0.3848,-0.367,0.02814,0.04485,0.05189,0.06611,0.07689,-1.7102664,-719.4228298169,11.229929453125,-38.606620828125,11.17168496875,-1.034490328125,5.998515,5.026,2
AC18825,15,64,-0.49715,-0.40185,-0.39683,-0.36481,-0.31298,0.03886,0.04695,0.0517,0.06328,0.07876,-1.6859631,-699.6188450116,10.9222190625,-37.608478328125,10.90243971875,-1.01451646875,5.866791578125,1.9702,2
